X,Y,OBJECTID,stop_id,stop_code,stop_name,line_color,stop_desc,platform_code,platform_name,stop_lat,stop_lon,zone_id,stop_address,stop_url,level_id,location_type,parent_station,wheelchair_boarding,municipality,on_street,at_street,vehicle_type,Sidewalk_Width__ft_,Accessibility_Score,Sidewalk_Condition,Sidewalk_Material,Current_Shelter,Routes,Municipality_1,Neighborhood,created_user,created_date,last_edited_user,last_edited_date
-71.142483,42.395428,618611,place-alfcl,,Alewife,red,,,,42.395428,-71.142483,,"Alewife Brook Pkwy and Cambridge Park Dr, Cambridge, MA 02140",https://www.mbta.com/stops/place-alfcl,,1,,1,Cambridge,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.137955,42.348701,618622,place-alsgr,,Allston Street,green,,,,42.348701,-71.137955,,"Allston St and Commonwealth Ave, Boston, MA 02134",https://www.mbta.com/stops/place-alsgr,,1,,2,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.114748,42.350992,618625,place-amory,,Amory Street,green,,,,42.350992,-71.114748,,"Commonwealth Ave and Amory St, Boston, MA 02215",https://www.mbta.com/stops/place-amory,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.057655,42.330154,618632,place-andrw,,Andrew,red,,,,42.330154,-71.057655,,"Dorchester Ave and Southhampton St, South Boston, MA 02127",https://www.mbta.com/stops/place-andrw,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.030395,42.374262,618640,place-aport,,Airport,blue,,,,42.374262,-71.030395,,"Transportation Way and Service Rd, Boston, MA 02128",https://www.mbta.com/stops/place-aport,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.051652,42.359784,618647,place-aqucl,,Aquarium,blue,,,,42.359784,-71.051652,,"Atlantic Ave and State St, Boston, MA 02120",https://www.mbta.com/stops/place-aqucl,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.070893,42.351902,618654,place-armnl,,Arlington,green,,,,42.351902,-71.070893,,"Arlington St and Boylston St, Boston, MA 02116",https://www.mbta.com/stops/place-armnl,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.063777,42.28452,618661,place-asmnl,,Ashmont,red,,,,42.28452,-71.063777,,"Dorchester Ave and Ashmont St, Boston, MA 02124",https://www.mbta.com/stops/place-asmnl,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.077257,42.392811,618671,place-astao,,Assembly,orange,,,,42.392811,-71.077257,,"499 Foley St, Somerville, MA 02145",https://www.mbta.com/stops/place-astao,,1,,1,Somerville,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.119924,42.351616,618676,place-babck,,Babcock Street,green,,,,42.351616,-71.119924,,"Commonwealth Ave and Babcock St, Boston, MA 02215",https://www.mbta.com/stops/place-babck,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.075727,42.34735,618683,place-bbsta,,Back Bay,orange,,,,42.34735,-71.075727,CR-zone-1A,"145 Dartmouth St Boston, MA 02116",https://www.mbta.com/stops/place-bbsta,,1,,1,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.111313,42.330139,618704,place-bckhl,,Back of the Hill,green,,,,42.330139,-71.111313,,"100 S Huntington Ave, Boston, MA 02130",https://www.mbta.com/stops/place-bckhl,,1,,2,Boston,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
-71.140455,42.335765,618707,place-bcnfd,,Beaconsfield,green,,,,42.335765,-71.140455,,"124 Beaconsfield Rd, Brookline, MA 02445",https://www.mbta.com/stops/place-bcnfd,,1,,2,Brookline,,,,,,,,,,,,DOT_ADMIN,2021/12/07 11:33:56+00,DOT_ADMIN,2021/12/07 11:33:56+00
